population,daily_high_temperature,daily_low_temperature,daily_precipitation,lockdown_percentage,gender_Male,gender_Male and Female,political_affiliation_purple,political_affiliation_red
1257.0,41.4,24.3,0.0,1.9417475728155338,1,0,1,0
884.0,38.5,26.2,0.18,53.398058252427184,1,0,1,0
1107.0,40.4,36.6,36.48,6.796116504854369,0,1,0,0
992.0,60.6,49.3,0.54,61.76470588235294,1,0,0,0
1293.0,42.1,30.3,0.0,4.854368932038835,0,1,0,0
1561.0,54.8,31.3,0.0,0.0,0,0,0,1
253.0,74.6,69.5,2.04,0.0,0,1,0,0
702.0,49.5,44.7,15.62,0.0,0,0,0,1
1562.0,68.4,53.4,1.72,0.0,0,0,0,1
1357.0,63.9,44.4,0.0,0.0,1,0,0,1
503.0,46.9,38.8,34.42,0.0,0,1,0,0
