ds,yhat,title,zip,avgtemp_f,totalprecip_mm,lockdown_probability
2024-05-04 22:04:27,1434.6106923025307,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.49638025447342987
2024-05-05 22:04:27,1438.9833243050157,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.49642740697329185
2024-05-06 22:04:27,1443.7181721436853,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.4964784655177047
2024-05-07 22:04:27,1443.1301299616164,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.496472124321977
2024-05-08 22:04:27,1441.8961581402746,FCI BUTNER MEDIUM II,27509,60.0,0.0,0.49645881770059996
2024-05-01 22:04:45,989.1538129611197,FCI BUTNER LOW,27509,68.2,1.22,0.5153350877132278
2024-05-02 22:04:45,990.9728330097928,FCI BUTNER LOW,27509,69.7,0.0,0.5142227440182833
2024-05-03 22:04:45,992.7280239571352,FCI BUTNER LOW,27509,60.0,0.0,0.4916156664579214
2024-05-04 22:04:45,994.9501359961962,FCI BUTNER LOW,27509,60.0,0.0,0.4916396232368744
2024-05-05 22:04:45,996.1561656614415,FCI BUTNER LOW,27509,60.0,0.0,0.4916526255613878
2024-05-06 22:04:45,997.599755102472,FCI BUTNER LOW,27509,60.0,0.0,0.4916681890560707
2024-05-07 22:04:45,997.7344287594351,FCI BUTNER LOW,27509,60.0,0.0,0.4916696409882294
2024-05-08 22:04:45,997.8950586340329,FCI BUTNER LOW,27509,60.0,0.0,0.4916713727575347
2024-05-01 22:05:01,878.7572207877489,FCI BUTNER MEDIUM I,27509,68.2,1.22,0.5141455941179864
2024-05-02 22:05:01,881.2675891445477,FCI BUTNER MEDIUM I,27509,69.7,0.0,0.5130405506497686
2024-05-03 22:05:01,877.5875695456295,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.4903743826616609
2024-05-04 22:05:01,879.8910875621901,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.4903992148678115
2024-05-05 22:05:01,882.734923396837,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.490429871831511
2024-05-06 22:05:01,884.0074020981025,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.49044358936021204
2024-05-07 22:05:01,884.0106192064542,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.490443624041185
2024-05-08 22:05:01,881.8644001285933,FCI BUTNER MEDIUM I,27509,60.0,0.0,0.490420487456478
2024-05-01 22:05:19,847.3854893525535,FMC BUTNER,27509,68.2,1.22,0.5138075423189687
2024-05-02 22:05:19,847.5844761268007,FMC BUTNER,27509,69.7,0.0,0.5126775485666144
2024-05-03 22:05:19,847.0476342447521,FMC BUTNER,27509,60.0,0.0,0.4900451629582205
2024-05-04 22:05:19,846.2510067586936,FMC BUTNER,27509,60.0,0.0,0.49003657544908286
2024-05-05 22:05:19,847.4333964514724,FMC BUTNER,27509,60.0,0.0,0.49004932141146934
2024-05-06 22:05:19,846.993401971061,FMC BUTNER,27509,60.0,0.0,0.4900445783433252
2024-05-07 22:05:19,848.0146572781939,FMC BUTNER,27509,60.0,0.0,0.4900555873103428
2024-05-08 22:05:19,847.288436905002,FMC BUTNER,27509,60.0,0.0,0.4900477587711982
2024-05-01 22:05:35,1277.5955880442332,USP CANAAN,18472,56.3,0.05,0.48624794768183516
2024-05-02 22:05:35,1277.546144352939,USP CANAAN,18472,56.1,0.0,0.4855914674814245
2024-05-03 22:05:35,1279.9011432162936,USP CANAAN,18472,60.0,0.0,0.49471198379859743
2024-05-04 22:05:35,1274.2506913438006,USP CANAAN,18472,60.0,0.0,0.49465105560546885
2024-05-05 22:05:35,1277.486556484424,USP CANAAN,18472,60.0,0.0,0.49468594755950895
2024-05-06 22:05:35,1276.3283260358712,USP CANAAN,18472,60.0,0.0,0.49467345849055017
2024-05-07 22:05:35,1279.3496507496961,USP CANAAN,18472,60.0,0.0,0.494706037109816
2024-05-08 22:05:35,1280.1297432311028,USP CANAAN,18472,60.0,0.0,0.49471444877041093
2024-05-01 22:05:52,1049.588938162508,FMC CARSWELL,76127,74.0,1.86,0.5319100967632291
2024-05-02 22:05:52,1053.6240567324494,FMC CARSWELL,76127,76.1,6.09,0.552761223143808
2024-05-03 22:05:52,1057.8807698691955,FMC CARSWELL,76127,60.0,0.0,0.49231809928053294
2024-05-04 22:05:52,1055.6017459988764,FMC CARSWELL,76127,60.0,0.0,0.49229352785912794
2024-05-05 22:05:52,1059.9144570498358,FMC CARSWELL,76127,60.0,0.0,0.4923400256222417
2024-05-06 22:05:52,1061.4580440695456,FMC CARSWELL,76127,60.0,0.0,0.4923566679341903
2024-05-07 22:05:52,1065.6733155829425,FMC CARSWELL,76127,60.0,0.0,0.4924021153210954
2024-05-08 22:05:52,1064.5441334711002,FMC CARSWELL,76127,60.0,0.0,0.49238994091472615
2024-05-01 22:06:08,579.9846062542631,MCC CHICAGO,60605,62.1,0.2,0.49282314688909773
2024-05-02 22:06:08,584.953088344685,MCC CHICAGO,60605,59.5,23.95,0.576389639130063
2024-05-03 22:06:08,583.7615956541497,MCC CHICAGO,60605,60.0,0.0,0.4872073345084303
2024-05-04 22:06:08,586.9311158003302,MCC CHICAGO,60605,60.0,0.0,0.48724149264335065
2024-05-05 22:06:08,590.200882108316,MCC CHICAGO,60605,60.0,0.0,0.4872767312628767
2024-05-06 22:06:08,589.2918173915444,MCC CHICAGO,60605,60.0,0.0,0.48726693416295724
2024-05-07 22:06:08,594.0152722461647,MCC CHICAGO,60605,60.0,0.0,0.4873178395111911
2024-05-08 22:06:08,591.6743464196611,MCC CHICAGO,60605,60.0,0.0,0.4872926109859514
2024-05-01 22:06:26,2092.161566876153,FCI COLEMAN LOW,33521,76.0,0.11,0.5411247367001947
2024-05-02 22:06:26,2093.06435002954,FCI COLEMAN LOW,33521,77.8,0.0,0.5448882157293009
2024-05-03 22:06:26,2092.0414951725193,FCI COLEMAN LOW,33521,60.0,0.0,0.5034699408256499
2024-05-04 22:06:26,2095.6642006952216,FCI COLEMAN LOW,33521,60.0,0.0,0.50350900657328
2024-05-05 22:06:26,2096.5956846254376,FCI COLEMAN LOW,33521,60.0,0.0,0.5035190513011486
2024-05-06 22:06:26,2096.9736312812956,FCI COLEMAN LOW,33521,60.0,0.0,0.5035231269168727
2024-05-07 22:06:26,2098.802272273319,FCI COLEMAN LOW,33521,60.0,0.0,0.5035428461956715
2024-05-08 22:06:26,2098.2475108253534,FCI COLEMAN LOW,33521,60.0,0.0,0.5035368638877268
2024-05-01 22:06:42,1552.3008646989751,FCI COLEMAN MEDIUM,33521,76.0,0.11,0.5353369238645308
2024-05-02 22:06:42,1549.464302712232,FCI COLEMAN MEDIUM,33521,77.8,0.0,0.5390673620126433
2024-05-03 22:06:42,1547.566522010483,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.49759833766072065
2024-05-04 22:06:42,1548.9882275579596,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.4976136691365291
2024-05-05 22:06:42,1548.623644681731,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.49760973752483434
2024-05-06 22:06:42,1548.992699934729,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.49761371736602816
2024-05-07 22:06:42,1549.0447111782958,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.4976142782481644
2024-05-08 22:06:42,1550.4509150023841,FCI COLEMAN MEDIUM,33521,60.0,0.0,0.49762944256012404
2024-05-01 22:06:59,1138.1230483997542,USP COLEMAN II,33521,76.0,0.11,0.5308900054625528
2024-05-02 22:06:59,1135.2557387438305,USP COLEMAN II,33521,77.8,0.0,0.5346247793065708
2024-05-03 22:06:59,1131.7171740455544,USP COLEMAN II,33521,60.0,0.0,0.4931141899465862
2024-05-04 22:06:59,1137.9826615807206,USP COLEMAN II,33521,60.0,0.0,0.4931817449563705
2024-05-05 22:06:59,1136.7062561271152,USP COLEMAN II,33521,60.0,0.0,0.4931679826259129
2024-05-06 22:06:59,1138.2890693221607,USP COLEMAN II,33521,60.0,0.0,0.4931850486766302
2024-05-07 22:06:59,1138.9518869377887,USP COLEMAN II,33521,60.0,0.0,0.4931921952474012
2024-05-08 22:06:59,1138.8278982211725,USP COLEMAN II,33521,60.0,0.0,0.49319085838752075
2024-05-01 22:07:15,1403.8176210468557,USP COLEMAN I,33521,76.0,0.11,0.5337433071286705
2024-05-02 22:07:15,1407.0088792747176,USP COLEMAN I,33521,77.8,0.0,0.5375401242804579
2024-05-03 22:07:15,1404.3210022172213,USP COLEMAN I,33521,60.0,0.0,0.49605362587128826
2024-05-04 22:07:15,1409.1991990991132,USP COLEMAN I,33521,60.0,0.0,0.4961062296434682
2024-05-05 22:07:15,1409.1742248658563,USP COLEMAN I,33521,60.0,0.0,0.49610596033495435
2024-05-06 22:07:15,1412.8276358935843,USP COLEMAN I,33521,60.0,0.0,0.4961453567513231
2024-05-07 22:07:15,1408.9742685454787,USP COLEMAN I,33521,60.0,0.0,0.4961038041151064
2024-05-08 22:07:15,1408.7357661669441,USP COLEMAN I,33521,60.0,0.0,0.4961012322357905
2024-05-01 22:07:32,1029.7699782194015,FCI CUMBERLAND,21502,61.7,0.07,0.49624640833306494
2024-05-02 22:07:32,1030.2014870521905,FCI CUMBERLAND,21502,64.7,0.01,0.5030222896439269
2024-05-03 22:07:32,1028.617853333933,FCI CUMBERLAND,21502,60.0,0.0,0.4920026023965663
2024-05-04 22:07:32,1027.9576590167658,FCI CUMBERLAND,21502,60.0,0.0,0.49199548461228343
2024-05-05 22:07:32,1027.0350482352521,FCI CUMBERLAND,21502,60.0,0.0,0.4919855376303727
2024-05-06 22:07:32,1033.8355647733106,FCI CUMBERLAND,21502,60.0,0.0,0.4920588564700464
2024-05-07 22:07:32,1024.279671366458,FCI CUMBERLAND,21502,60.0,0.0,0.4919558310091824
2024-05-08 22:07:32,1025.698149684602,FCI CUMBERLAND,21502,60.0,0.0,0.49197112408180327
2024-05-01 22:07:48,1149.4194269469313,FCI DANBURY,06811,54.3,0.31,0.48119223895608054
2024-05-02 22:07:48,1150.1566226306788,FCI DANBURY,06811,57.0,0.03,0.4864306908522814
2024-05-03 22:07:48,1149.979219919306,FCI DANBURY,06811,60.0,0.0,0.49331109354276237
2024-05-04 22:07:48,1152.3961098477967,FCI DANBURY,06811,60.0,0.0,0.4933371529002642
2024-05-05 22:07:48,1154.5826557280343,FCI DANBURY,06811,60.0,0.0,0.4933607286765186
2024-05-06 22:07:48,1152.9319636627956,FCI DANBURY,06811,60.0,0.0,0.4933429305808412
2024-05-07 22:07:48,1153.4787102449434,FCI DANBURY,06811,60.0,0.0,0.4933488257111953
2024-05-08 22:07:48,1158.3537150031068,FCI DANBURY,06811,60.0,0.0,0.4934013890633314
2024-05-01 22:08:05,988.1670727223496,FMC DEVENS,01432,47.9,0.74,0.4661972604059735
2024-05-02 22:08:05,988.7185188486034,FMC DEVENS,01432,56.2,0.05,0.48290255984098507
2024-05-03 22:08:05,993.9791289433354,FMC DEVENS,01432,60.0,0.0,0.49162915472249324
2024-05-04 22:08:05,998.2690019590351,FMC DEVENS,01432,60.0,0.0,0.49167540428465956
